method,corruption_type,valid_before,valid_after,strict_valid,exact_match,field_match,clean_snippet,corrupted_snippet,repaired_snippet
coordrep_mlm,delimiter_mismatch,False,False,False,False,0.3333,[Metal:Co|ox:+2|d:d7|CN:5]<ShapeBest:TBP|Class:ideal|Delta:2,[Metal:Co|ox:+2;d:d7|CN:5]<ShapeBest:TBP|Class:ideal|Delta:2,[Co];ox=+2;d:d7;CN=5<Shape:>{trans:L1:P:1--L2:P:1}|L1=[H]C([
coordrep_mlm,missing_bracket,False,False,False,False,0.3333,[Metal:Ru|ox:+2|d:d6|CN:8]|L1=[H]C1C([H])C([H])([H])C([H])([,[Metal:Ru|ox:+2|d:d6|CN:8]|L1=[H]C1C([H])C([H])([H])C([H])([,[Ru];ox=+2;d=6;CN=8|L1=[H]C1C([H])C([H])([H])C([H])([H])C([H
coordrep_mlm,missing_bracket,False,False,False,False,0.3333,"[Metal:Ir|CN:6]<ShapeBest:Oh|Class:dist|Delta:3|V:5.55,12.66","[Metal:Ir|CN:6]<ShapeBest:Oh|Class:dist|Delta:3|V:5.55,12.66",[Ir];CN=6<Shape:>{trans:L1:N:1--L1:N:2}{trans:L1:O:1--L1:O:2
coordrep_mlm,missing_bracket,False,False,False,False,0.1667,"[Metal:Ir|CN:6]<ShapeBest:Oh|Class:dist|Delta:1|V:5.65,6.41>","[Metal:Ir|CN:6<ShapeBest:Oh|Class:dist|Delta:1|V:5.65,6.41>{",[Ir];CN=6<ShapeBest:OhC1NC2C(C(N([H])C([H])([H])C([H])([H])C
coordrep_mlm,missing_bracket,False,False,False,False,0.1667,[Metal:Rh|ox:+3|d:d6|CN:6]<ShapeBest:Oh|Class:dist|Delta:3|V,[Metal:Rh|ox:+3|d:d6|CN:6]<ShapeBest:Oh|Class:dist|Delta:3|V,[Rh];ox=+3;d=6;CN=6<Shape:>|L1=[H]C1C([H])C([H])([H])C([H])(
coordrep_mlm,missing_bracket,False,False,False,False,0.3333,"[Metal:Ir|CN:6]<ShapeBest:Oh|Class:irreg|Delta:2|V:10.27,14.","[Metal:Ir|CN:6]<ShapeBest:Oh|Class:irreg|Delta:2|V:10.27,14.",[Ir];CN=6<Shape:>{trans:L1:C:2--L3:Cl:1}|L1=[H]C1=C([H])C([H
coordrep_mlm,missing_bracket,False,False,False,False,0.3333,"[Metal:Y|CN:5]<ShapeBest:TBP|Class:ideal|Delta:3|V:0.71,5.86","[Metal:Y|CN:5]<ShapeBest:TBP|Class:ideal|Delta:3|V:0.71,5.86",[Y];CN=5<Shape:>|L1=[H]C1([H])NC([H])([H])C([H])([H])C([H])(
coordrep_mlm,missing_bracket,False,False,False,False,0.3333,"[Metal:Ir|CN:6]<ShapeBest:Oh|Class:dist|Delta:2|V:3.60,7.87>","[Metal:Ir|CN:6]<ShapeBest:Oh|Class:dist|Delta:2|V:3.60,7.87>",[Ir];CN=6<Shape:>{trans:L1:C:1--L3:N:1}{trans:L1:N:1--L2:N:1
coordrep_mlm,missing_bracket,False,False,False,False,0.3333,"[Metal:Ti|CN:4]<ShapeBest:Td|Class:ideal|Delta:2|V:0.32,2.54","[Metal:Ti|CN:4]<ShapeBest:Td|Class:ideal|Delta:2|V:0.32,2.54",[Ti];CN=4<Shape:>|L1=[H]C([H])[H]|L2=[H]C([H])[H]|L3=[H]C([H
coordrep_mlm,missing_bracket,False,False,False,False,0.3333,"[Metal:Re|CN:6]<ShapeBest:Oh|Class:dist|Delta:3|V:5.52,11.98","[Metal:Re|CN:6]<ShapeBest:Oh|Class:dist|Delta:3|V:5.52,11.98",[Re];CN=6<Shape:>{trans:L2:S:2--L3:Cl:1}|L1=[H]C([H])([H])C1
coordrep_mlm,missing_bracket,False,False,False,False,0.3333,[Metal:Ru|ox:+2|d:d6|CN:7]{trans:L1:C:1--L4:N:1}{trans:L1:N:,[Metal:Ru|ox:+2|d:d6|CN:7]{trans:L1:C:1--L4:N:1}{trans:L1:N:,[Ru];ox=+2;d=6;CN=7{trans:L1:C:1--L4:N:1}{trans:L1:N:1--L2:C
